a,b,c,d,e,w
0.069431844,0.5,0.5,0.5,0.5,0.173927423
0.112701665,0.211324865,0.5,0.5,0.5,0.138888889
0.112701665,0.5,0.211324865,0.5,0.5,0.138888889
0.112701665,0.5,0.5,0.211324865,0.5,0.138888889
0.112701665,0.5,0.5,0.5,0.211324865,0.138888889
0.112701665,0.5,0.5,0.5,0.5,-1.111111111
0.112701665,0.5,0.5,0.5,0.788675135,0.138888889
0.112701665,0.5,0.5,0.788675135,0.5,0.138888889
0.112701665,0.5,0.788675135,0.5,0.5,0.138888889
0.112701665,0.788675135,0.5,0.5,0.5,0.138888889
0.211324865,0.112701665,0.5,0.5,0.5,0.138888889
0.211324865,0.211324865,0.211324865,0.5,0.5,0.125
0.211324865,0.211324865,0.5,0.211324865,0.5,0.125
0.211324865,0.211324865,0.5,0.5,0.211324865,0.125
0.211324865,0.211324865,0.5,0.5,0.5,-1
0.211324865,0.211324865,0.5,0.5,0.788675135,0.125
0.211324865,0.211324865,0.5,0.788675135,0.5,0.125
0.211324865,0.211324865,0.788675135,0.5,0.5,0.125
0.211324865,0.5,0.112701665,0.5,0.5,0.138888889
0.211324865,0.5,0.211324865,0.211324865,0.5,0.125
0.211324865,0.5,0.211324865,0.5,0.211324865,0.125
0.211324865,0.5,0.211324865,0.5,0.5,-1
0.211324865,0.5,0.211324865,0.5,0.788675135,0.125
0.211324865,0.5,0.211324865,0.788675135,0.5,0.125
0.211324865,0.5,0.5,0.112701665,0.5,0.138888889
0.211324865,0.5,0.5,0.211324865,0.211324865,0.125
0.211324865,0.5,0.5,0.211324865,0.5,-1
0.211324865,0.5,0.5,0.211324865,0.788675135,0.125
0.211324865,0.5,0.5,0.5,0.112701665,0.138888889
0.211324865,0.5,0.5,0.5,0.211324865,-1
0.211324865,0.5,0.5,0.5,0.5,3.888888889
0.211324865,0.5,0.5,0.5,0.788675135,-1
0.211324865,0.5,0.5,0.5,0.887298335,0.138888889
0.211324865,0.5,0.5,0.788675135,0.211324865,0.125
