id,firm_id,air,car_size,mpd,hp2wt,p_real,air_ive,car_size_ive,mpd_ive,hp2wt_ive,air_own,car_size_own,mpd_own,hp2wt_own,air_ivi,car_size_ivi,mpd_ivi,hp2wt_ivi,deltas
1,1,1,1.2249391,2.1334193,4.9304676,16.105587,1074.0,2113.6685609100005,5642.3326459,10678.541309499999,44,130.5322287,304.7420977,539.2917658,43,129.3072896,302.6086784,534.3612982,1.2268982626189902
2,1,1,1.4103389,2.0211341,6.6507049,27.543993,1074.0,2113.6685609100005,5642.3326459,10678.541309499999,44,130.5322287,304.7420977,539.2917658,43,129.1218898,302.7209636,532.6410609,-0.48648350897663367
4,1,0,1.227354,2.4702749,4.275093099999999,8.866106,1074.0,2113.6685609100005,5642.3326459,10678.541309499999,44,130.5322287,304.7420977,539.2917658,44,129.3048747,302.2718228,535.0166727,2.3206060671104924
5,1,0,1.1809598999999995,3.1439862,4.1199999,9.3863802,1074.0,2113.6685609100005,5642.3326459,10678.541309499999,44,130.5322287,304.7420977,539.2917658,44,129.35126879999999,301.5981115,535.1717659,2.7627168682887624
9,1,0,1.110356,3.1439862,4.2677822,6.693191099999999,1074.0,2113.6685609100005,5642.3326459,10678.541309499999,44,130.5322287,304.7420977,539.2917658,44,129.4218727,301.5981115,535.0239836,2.924870388969816
18,1,1,1.2760081,2.1334193,5.5604329,16.448355,1074.0,2113.6685609100005,5642.3326459,10678.541309499999,44,130.5322287,304.7420977,539.2917658,43,129.25622059999998,302.6086784,533.7313329,-0.5397071540740863
26,1,0,1.098498,2.6948454,5.001924,11.398624,1074.0,2113.6685609100005,5642.3326459,10678.541309499999,44,130.5322287,304.7420977,539.2917658,44,129.43373069999998,302.04725229999997,534.2898418,-0.002571284089498406
30,1,1,1.2496528999999998,2.0211341,5.775339099999999,17.490437,1074.0,2113.6685609100005,5642.3326459,10678.541309499999,44,130.5322287,304.7420977,539.2917658,43,129.2825758,302.7209636,533.5164267,-0.48522644239087215
31,1,0,1.0668799999999998,3.4808419,3.8613861,4.9640403,1074.0,2113.6685609100005,5642.3326459,10678.541309499999,44,130.5322287,304.7420977,539.2917658,44,129.4653487,301.2612558,535.4303797,-0.11876166443051311
60,2,1,1.25552,2.1334193,4.860486,17.980107999999998,966.0,2014.1696806100003,5553.1781707,10042.6782083,152,230.031109,393.8965729,1175.154867,151,228.775589,391.7631536,1170.294381,0.3682444086337116
